id;type_id;date;ref_no;description;other_cost;subtotal;total_tax;disc;disc_percent_status;status;created_by;created_date;last_modified_by;last_modified_date;record_status_id
1;85225;2020-12-07;De-engineered budget;Mali Intelligent Fresh Sausages purple;59852;52778;54795;60999;true;Di;Incredible Soft Chair;2020-12-07T12:48:48;extensible;2020-12-07T10:10:23;16686
2;984;2020-12-07;deposit Tasty Metal ;orchid supply-chains;14989;27594;31596;19932;false;wi;PNG Small Frozen Chicken SDD;2020-12-06T15:06:14;withdrawal overriding;2020-12-07T09:18:26;48031
3;1178;2020-12-06;bricks-and-clicks me;Developer Steel Marshall Islands;51838;74410;93353;20296;true;Ch;directional Credit Card Account 3rd generation;2020-12-07T14:03:43;non-volatile;2020-12-07T08:21:22;11176
4;40607;2020-12-07;Creative Concrete;incentivize redundant;2730;93741;58029;96690;false;St;West Virginia New Taiwan Dollar Response;2020-12-06T20:56:17;Handcrafted Metal Fish Bond Markets Units European;2020-12-06T18:13:42;32153
5;64827;2020-12-06;Balboa US Dollar azu;AI synthesizing best-of-breed;81389;85247;69096;81480;false;vi;New Hampshire Steel;2020-12-06T20:11:09;Steel open system;2020-12-06T19:20:45;78165
6;48012;2020-12-07;Run Chips;Hawaii Groves;34116;50287;89427;87530;false;Co;copying Tuna Handcrafted Plastic Table;2020-12-07T14:09:06;Practical connect;2020-12-07T01:37:03;4391
7;3293;2020-12-06;Auto Loan Account Mi;Belarussian Ruble bluetooth invoice;73353;29229;81075;62335;false;Cl;Regional Incredible;2020-12-06T20:22:32;Fish Japan;2020-12-06T14:45:12;5389
8;5651;2020-12-07;Missouri;Chips;64394;80098;8910;35981;false;JS;digital Applications Pa'anga;2020-12-06T18:11:50;Clothing impactful Directives;2020-12-07T09:13:29;28974
9;62334;2020-12-06;Human;backing up Auto Loan Account;55470;29779;68006;95738;false;Ca;Small Soft Keyboard seamless infrastructures;2020-12-07T11:23:47;connect;2020-12-07T12:45:29;19397
10;56124;2020-12-07;New Leu;initiative;31461;28975;98613;89922;true;la;payment Mouse Tuna;2020-12-07T05:03:27;Auto Loan Account Small Fresh Cheese Maryland;2020-12-07T13:35:39;395
